City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Busselton,AU,83.34,clear sky,-33.65,115.3333,Observatory Guest House
15,Hilo,US,80.33,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
23,Nanakuli,US,78.75,scattered clouds,21.3906,-158.1547,Camp Pālehua
41,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
43,Bambous Virieux,MU,78.22,moderate rain,-20.3428,57.7575,Casa Tia Villa
46,Weligama,LK,77.88,clear sky,5.9667,80.4167,Weligama Bay Resort
47,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
49,Alofi,NU,84.09,broken clouds,-19.0595,-169.9187,Taloa Heights
59,Nha Trang,VN,77.0,overcast clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
60,Butaritari,KI,81.86,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
61,Esperance,AU,75.04,overcast clouds,-33.8667,121.9,Hospitality Esperance
62,Atuona,PF,78.03,few clouds,-9.8,-139.0333,Villa Enata
64,Eydhafushi,MV,81.21,overcast clouds,5.1033,73.0708,Soneva Fushi
65,Thinadhoo,MV,82.22,overcast clouds,0.5333,72.9333,
69,Carnarvon,AU,78.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
70,Rikitea,PF,77.34,light rain,-23.1203,-134.9692,People ThankYou
71,Kapaa,US,78.78,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
73,Souillac,MU,78.37,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
77,Manuk Mangkaw,PH,82.09,overcast clouds,4.8,119.85,
82,Saint-Pierre,RE,76.68,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
90,Doka,SD,76.62,overcast clouds,13.5167,35.7667,
92,Arraial Do Cabo,BR,75.27,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
93,Santa Cruz,BO,76.46,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
99,Soc Trang,VN,75.16,broken clouds,9.6033,105.98,Phu Quy Hotel
100,Isangel,VU,84.31,broken clouds,-19.55,169.2667,Tanna Lodge
106,Bourail,NC,79.74,broken clouds,-21.5667,165.4833,Motel Allamanda
111,Kavaratti,IN,79.3,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
115,Dingle,PH,80.11,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
118,Gombong,ID,84.83,overcast clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
122,Bandarbeyla,SO,75.54,scattered clouds,9.4942,50.8122,JABIR HOTEL
126,Vaini,TO,86.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
129,Punto Fijo,VE,77.31,broken clouds,11.6956,-70.1996,Santa Fe Inn Hotel
131,Faanui,PF,80.55,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
135,Cayenne,GF,78.1,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
136,Bengkulu,ID,80.55,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
137,Careiro Da Varzea,BR,81.23,light rain,-3.2003,-59.8119,POUSADA DA ALDENORA
141,Sao Joao Da Barra,BR,75.67,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
148,Am Timan,TD,75.02,scattered clouds,11.0297,20.2827,Palais du chef Canton Salamt
157,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
158,Touros,BR,77.9,few clouds,-5.1989,-35.4608,INN NEW HORIZON
164,Kahului,US,78.82,broken clouds,20.8947,-156.47,Maui Seaside Hotel
169,Popondetta,PG,84.58,overcast clouds,-8.7537,148.2534,Timos Transit House
174,Neuquen,AR,78.69,clear sky,-38.9516,-68.0591,Hotel del Comahue
176,Gamba,GA,76.33,overcast clouds,-2.65,10.0,
186,Acarau,BR,77.99,overcast clouds,-2.8856,-40.12,castelo pizzaria
192,Bria,CF,82.6,overcast clouds,6.5423,21.9863,WFP Guesthouse
194,Tiruchchendur,IN,75.49,scattered clouds,8.4833,78.1167,Hotel Udhayam International
195,Itarema,BR,77.92,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
196,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
201,Biak,ID,82.63,scattered clouds,-0.9131,122.8766,Penginapan Kim
205,Kuching,MY,75.42,few clouds,1.55,110.3333,The Ranee Boutique Suites
206,Pouembout,NC,83.28,broken clouds,-21.1333,164.9,Camping de Tipenga
212,Jacqueville,CI,82.31,overcast clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
213,Hithadhoo,MV,82.62,overcast clouds,-0.6,73.0833,Scoop Guest House
221,Mount Gambier,AU,78.71,overcast clouds,-37.8333,140.7667,The Commodore
223,Vanimo,PG,84.94,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
226,Sembakung,ID,82.33,broken clouds,3.8167,117.25,
227,Manoel Urbano,BR,75.6,broken clouds,-8.8389,-69.2597,Baixada Beira Rio
228,Alyangula,AU,78.67,light intensity drizzle,-13.8483,136.4192,Groote Eylandt Lodge
229,Nisia Floresta,BR,79.18,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
230,Galesong,ID,78.82,overcast clouds,-5.3166,119.3661,Sapriadi Appy
234,Nova Russas,BR,75.33,overcast clouds,-4.7067,-40.5631,palace motel
236,Cam Ranh,VN,76.96,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
241,Kimbe,PG,86.76,light rain,-5.5502,150.1429,Kimbe Bay Hotel
244,Kintampo,GH,79.12,broken clouds,8.0563,-1.7306,Adomaa Memorial Hotel
247,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
248,Mahebourg,MU,78.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
251,Salaga,GH,82.35,overcast clouds,8.5508,-0.5188,Bore Nada Guest House
253,Lorengau,PG,85.21,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
264,Wewak,PG,85.71,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
270,Koumac,NC,82.74,scattered clouds,-20.5667,164.2833,Le Monitel
272,Axim,GH,79.77,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
275,Parkes,AU,85.77,scattered clouds,-33.1333,148.1833,Station Motel
278,Maceio,BR,76.44,few clouds,-9.6658,-35.7353,Poutur Pousada
279,Deniliquin,AU,87.01,clear sky,-35.5333,144.9667,Riviana Motel
289,Fuerte Olimpo,PY,79.5,clear sky,-21.0415,-57.8738,Hospedaje DAMI
298,Ahipara,NZ,75.76,clear sky,-35.1667,173.1667,Ahipara Holiday Park
300,Puerto Colombia,CO,78.89,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
304,Cabinda,AO,76.62,overcast clouds,-5.55,12.2,Hotel Maiombe
306,Bambanglipuro,ID,79.95,light rain,-7.95,110.2833,Puri Brata
315,Sinnamary,GF,76.44,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
316,Bubaque,GW,79.27,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
323,Cabo San Lucas,MX,76.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
326,Merauke,ID,85.62,few clouds,-8.4667,140.3333,
328,Muisne,EC,75.99,overcast clouds,0.6,-80.0333,Quinta Samay
331,Luganville,VU,87.24,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
332,Port Macquarie,AU,80.89,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
334,Alta Gracia,AR,83.55,few clouds,-31.6529,-64.4283,Hotel Ritz
340,Salto De Agua,MX,75.96,broken clouds,17.6167,-92.3667,
344,Kawalu,ID,75.67,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
354,Santiago Del Estero,AR,86.81,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
355,Teluknaga,ID,80.64,scattered clouds,-6.0989,106.6381,Bale Ocasa hotel
357,Port-Gentil,GA,79.75,overcast clouds,-0.7193,8.7815,Fengshui Residence
363,Ballina,AU,82.58,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
372,Poum,NC,81.27,clear sky,-20.2333,164.0167,Gîte kajeon
376,Impfondo,CG,76.59,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
380,Namatanai,PG,86.04,clear sky,-3.6667,152.4333,Seagulls Inn Namatani
384,Salinopolis,BR,77.81,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
385,Phan Thiet,VN,77.7,scattered clouds,10.9333,108.1,Hotel Saigon-PT
391,Lethem,GY,81.19,scattered clouds,3.3803,-59.7968,Savannah Inn
398,Grand Gaube,MU,78.39,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
399,Caravelas,BR,76.89,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
400,Cotonou,BJ,81.52,overcast clouds,6.3654,2.4183,Novotel Cotonou Orisha
404,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
412,Okitipupa,NG,76.33,few clouds,6.5047,4.7839,Coastal Hotel & Suites
414,El Tigre,VE,75.81,broken clouds,8.8875,-64.2454,Hotel Santa Cruz
419,Pore,CO,76.75,broken clouds,5.7272,-71.9947,Casa Medica
420,Moindou,NC,80.55,broken clouds,-21.6924,165.67700000000002,Equi-lodge de Moindou
423,Shimoni,KE,75.88,broken clouds,-4.6476,39.3817,Shimoni Reef Lodge
432,Tabou,CI,78.6,overcast clouds,4.423,-7.3528,hotêl doufoulougou
435,Manado,ID,83.17,broken clouds,1.4869999999999999,124.8455,Aryaduta Hotel
445,Lampang,TH,79.34,few clouds,18.3333,99.5,Mrs Luis Guest House
448,Mackay,AU,89.69,scattered clouds,-21.15,149.2,International Lodge Motel
451,Guanica,PR,76.91,overcast clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
453,Kieta,PG,86.14,light rain,-6.2167,155.6333,Uruna Bay Retreat
459,Black River,JM,78.8,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
460,Macapa,BR,76.98,broken clouds,0.0389,-51.0664,Atalanta Hotel
463,Mbini,GQ,78.15,overcast clouds,1.574,9.6134,
467,Buala,SB,85.48,light rain,-8.145,159.5921,Maringe Lagoon Lodge
469,Bonthe,SL,79.54,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
471,Mapiripan,CO,80.83,broken clouds,2.8892,-72.1256,Monserrate
482,Pitimbu,BR,77.59,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
485,Meulaboh,ID,80.26,broken clouds,4.1363,96.1285,Kost Pria
488,Takoradi,GH,80.06,scattered clouds,4.8845,-1.7554,Raybow International Hotel
489,Flinders,AU,75.18,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
492,La Palma,US,76.08,few clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
493,Angoche,MZ,75.38,light rain,-16.2325,39.9086,Guest House HESADA
495,Jardim,BR,77.63,scattered clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
496,Kiama,AU,75.38,light rain,-34.6833,150.8667,The Sebel Kiama Harbourside
497,Maningrida,AU,76.87,moderate rain,-12.0667,134.2667,Dhukurrdji Lodge
499,Aquiraz,BR,81.18,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
500,Kavieng,PG,84.56,clear sky,-2.5744,150.7967,Nusa Island Retreat
508,Codrington,AU,79.52,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
515,Howard Springs,AU,75.11,moderate rain,-12.497,131.047,buffalo beach hostel
518,San Ramon De La Nueva Oran,AR,88.43,scattered clouds,-23.1322,-64.32600000000001,Hotel Residencial Centro
521,San Andres,CO,80.62,few clouds,12.5847,-81.7006,Hotel Arena Blanca
523,Gummidipundi,IN,77.99,scattered clouds,13.4,80.15,Le Raj Courtyard
525,Denpasar,ID,83.86,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
530,Tautira,PF,84.22,moderate rain,-17.7333,-149.15,Pension Oaoa
532,Sabang,ID,82.13,broken clouds,5.8933,95.3214,Hotel Citra
535,Otorohanga,NZ,83.55,few clouds,-38.1833,175.2,Otorohanga Kiwi Holiday Park
536,Luwuk,ID,84.88,scattered clouds,-0.9516,122.7875,Hotel Santika Luwuk
539,Ugoofaaru,MV,81.28,overcast clouds,5.6667,73.0,Ungoofaaru Inn
541,Harper,LR,78.91,broken clouds,4.375,-7.7169,Screensaver
554,Chivilcoy,AR,82.08,clear sky,-34.8957,-60.0167,Chivilrent
556,Palu,ID,81.97,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
563,Kutoarjo,ID,86.88,light rain,-7.7169,109.9128,Massagus Hotel
564,Manokwari,ID,83.28,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
569,General Roca,AR,86.63,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
573,Paredon,MX,75.2,broken clouds,16.0333,-93.8667,Hotel Principal Paredon
577,Warrnambool,AU,77.81,overcast clouds,-38.3833,142.4833,Lady Bay Resort
578,Sibu,MY,77.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
581,Byron Bay,AU,82.51,clear sky,-28.65,153.6167,Backpackers Inn
582,Mayumba,GA,76.55,overcast clouds,-3.432,10.6554,LIKWALE LODGE
585,Veinticinco De Mayo,AR,87.06,few clouds,-35.4323,-60.1727,Estancia La Rosada
586,Paciran,ID,78.94,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
588,Taree,AU,83.07,broken clouds,-31.9,152.4667,All Seasons Country Lodge Taree
596,Quatre Cocos,MU,78.1,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
597,Bonfim,BR,83.3,overcast clouds,3.0833,-59.95,
600,Puerto El Triunfo,SV,83.32,broken clouds,13.2833,-88.55,Hotel Jardin
603,Porto Novo,BJ,80.44,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
608,Vila Velha,BR,78.94,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
618,Vao,NC,77.04,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
621,Geraldton,AU,79.21,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
626,Gigmoto,PH,80.11,clear sky,13.7796,124.39,Cj's Travellers Inn
629,Panambi,BR,79.43,clear sky,-28.2925,-53.5017,Hotel Lages Panambi
631,San Policarpo,PH,80.53,overcast clouds,12.1791,125.5072,Agapita M. Nicart
636,Ahuimanu,US,78.51,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
643,Yaan,NG,77.2,few clouds,7.3833,8.5667,
644,Samarai,PG,84.47,broken clouds,-10.6167,150.6667,Nuli Sapi
645,Nelson Bay,AU,81.95,few clouds,-32.7167,152.15,Mantra Nelson Bay
650,Kandrian,PG,88.99,overcast clouds,-6.2167,149.55,Kandrian Station
660,Maues,BR,75.61,overcast clouds,-3.3836,-57.7186,Hotel Miramar
664,Brazzaville,CG,80.91,thunderstorm,-4.2658,15.2832,Hotel Muesse
668,Kaeo,NZ,76.98,clear sky,-35.1,173.7833,Bushido Lodge
671,Imbituba,BR,75.09,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
679,Kudahuvadhoo,MV,81.45,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
