City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,East London,ZA,2021-12-22 06:33:39,-33.0153,27.9116,77.94,78,0,4.61
1,Khatanga,RU,2021-12-22 06:33:40,71.9667,102.5,-34.26,100,23,1.1
2,Felanitx,ES,2021-12-22 06:33:40,39.4696,3.1483,52.45,88,100,3.47
3,Sibolga,ID,2021-12-22 06:33:41,1.7427,98.7792,83.98,69,100,5.17
4,Punta Arenas,CL,2021-12-22 06:33:41,-53.15,-70.9167,50.11,76,40,23.02
5,Dunedin,NZ,2021-12-22 06:33:42,-45.8742,170.5036,56.8,91,98,1.01
6,Porbandar,IN,2021-12-22 06:33:42,21.6422,69.6093,76.98,50,100,4.61
7,Rikitea,PF,2021-12-22 06:33:43,-23.1203,-134.9692,76.64,81,100,13.71
8,Saldanha,ZA,2021-12-22 06:33:43,-33.0117,17.9442,68.05,78,61,7.61
9,Key West,US,2021-12-22 06:29:41,24.5557,-81.7826,75.2,72,20,13.8
10,Ushuaia,AR,2021-12-22 06:33:44,-54.8,-68.3,47.86,76,20,40.29
11,Bemidji,US,2021-12-22 06:33:44,47.4736,-94.8803,1.63,84,1,0.0
12,Hilo,US,2021-12-22 06:33:35,19.7297,-155.09,68.11,46,90,4.61
13,Kanniyakumari,IN,2021-12-22 06:30:15,8.0833,77.5667,82.98,60,91,14.92
14,Mataura,NZ,2021-12-22 06:33:45,-46.1927,168.8643,60.48,92,99,7.18
15,Limbang,MY,2021-12-22 06:33:45,4.75,115.0,87.91,64,71,6.04
16,Albany,US,2021-12-22 06:33:46,42.6001,-73.9662,35.55,78,98,1.01
17,Yakeshi,CN,2021-12-22 06:33:46,49.2833,120.7333,-16.76,97,47,1.88
18,Jalu,LY,2021-12-22 06:33:47,29.0331,21.5482,53.56,47,0,4.18
19,Krasnoselkup,RU,2021-12-22 06:33:47,65.7,82.4667,-1.37,94,100,17.67
20,Arraial Do Cabo,BR,2021-12-22 06:32:38,-22.9661,-42.0278,73.06,93,16,23.11
21,Kruisfontein,ZA,2021-12-22 06:33:47,-34.0033,24.7314,68.88,78,100,8.16
22,Shuangyang,CN,2021-12-22 06:33:48,43.5242,125.6736,6.76,59,69,5.7
23,Aklavik,CA,2021-12-22 06:33:48,68.2191,-135.0107,-4.97,84,100,11.45
24,La Asuncion,VE,2021-12-22 06:33:49,11.0333,-63.8628,78.53,94,55,9.22
25,Tasiilaq,GL,2021-12-22 06:33:49,65.6145,-37.6368,35.76,50,28,6.91
26,New Norfolk,AU,2021-12-22 06:33:49,-42.7826,147.0587,66.65,35,100,5.99
27,Karratha,AU,2021-12-22 06:33:50,-20.7377,116.8463,100.38,31,1,24.25
28,Puerto Ayora,EC,2021-12-22 06:33:50,-0.7393,-90.3518,69.55,93,71,1.01
29,Carnarvon,AU,2021-12-22 06:33:51,-24.8667,113.6333,80.67,61,0,20.71
30,Nanortalik,GL,2021-12-22 06:33:51,60.1432,-45.2371,41.58,71,100,22.95
31,Ust-Ilimsk,RU,2021-12-22 06:33:52,58.0006,102.6619,-18.54,92,8,1.92
32,Anadyr,RU,2021-12-22 06:33:52,64.75,177.4833,-7.01,69,0,5.99
33,Port Alfred,ZA,2021-12-22 06:33:53,-33.5906,26.891,75.11,76,100,7.34
34,Avarua,CK,2021-12-22 06:29:15,-21.2078,-159.775,78.85,73,40,9.22
35,Chokurdakh,RU,2021-12-22 06:33:53,70.6333,147.9167,-13.4,98,99,7.34
36,Clyde River,CA,2021-12-22 06:33:54,70.4692,-68.5914,8.83,85,100,34.52
37,San Cristobal,VE,2021-12-22 06:33:54,7.7669,-72.225,67.06,95,100,1.14
38,Husavik,IS,2021-12-22 06:33:54,66.0449,-17.3389,15.71,82,39,10.96
39,Benjamin Hill,MX,2021-12-22 06:33:55,30.1667,-111.1,61.63,25,100,6.22
40,Vaini,TO,2021-12-22 06:33:55,-21.2,-175.2,82.56,94,75,5.75
41,Camana,PE,2021-12-22 06:33:56,-16.6228,-72.7111,67.93,82,100,1.88
42,Xining,CN,2021-12-22 06:33:56,36.6167,101.7667,31.89,23,71,0.96
43,Nyurba,RU,2021-12-22 06:33:56,63.2842,118.3319,-41.73,98,100,2.98
44,Semey,KZ,2021-12-22 06:33:57,50.4111,80.2275,21.42,93,20,8.95
45,Mandiana,GN,2021-12-22 06:33:57,10.6333,-8.6833,66.11,22,11,5.26
46,Rawson,AR,2021-12-22 06:33:58,-43.3002,-65.1023,62.78,46,0,12.57
47,Jamestown,US,2021-12-22 06:33:58,42.097,-79.2353,36.99,72,90,8.99
48,Leshukonskoye,RU,2021-12-22 06:33:59,64.8989,45.7622,-16.13,99,68,3.02
49,Energeticheskiy,KZ,2021-12-22 06:33:59,43.4278,77.0222,37.96,70,75,2.24
50,Havre-Saint-Pierre,CA,2021-12-22 06:34:00,50.2334,-63.5986,10.99,78,1,10.36
51,Bluff,NZ,2021-12-22 06:34:00,-46.6,168.3333,60.8,72,91,27.27
52,Tiarei,PF,2021-12-22 06:34:01,-17.5333,-149.3333,75.22,79,98,12.28
53,Port Elizabeth,ZA,2021-12-22 06:34:01,-33.918,25.5701,71.1,88,40,16.11
54,Talnakh,RU,2021-12-22 06:34:02,69.4865,88.3972,-0.8,82,100,9.37
55,Kurganinsk,RU,2021-12-22 06:34:02,44.88,40.5986,22.35,79,88,16.98
56,Dikson,RU,2021-12-22 06:34:02,73.5069,80.5464,-10.39,78,100,12.21
57,Bethel,US,2021-12-22 06:34:03,41.3712,-73.414,41.65,88,90,0.0
58,Yellowknife,CA,2021-12-22 06:34:04,62.456,-114.3525,-22.45,90,90,0.0
59,Chuy,UY,2021-12-22 06:34:04,-33.6971,-53.4616,63.07,87,3,4.94
60,Hermanus,ZA,2021-12-22 06:34:04,-34.4187,19.2345,74.89,79,100,9.28
61,Mathathane,BW,2021-12-22 06:34:05,-22.2687,28.7495,77.76,59,100,9.46
62,Castro,BR,2021-12-22 06:34:05,-24.7911,-50.0119,64.06,81,68,2.33
63,Bredasdorp,ZA,2021-12-22 06:34:06,-34.5322,20.0403,68.29,72,100,7.54
64,Adrar,MR,2021-12-22 06:34:06,20.5022,-10.0711,64.31,30,100,9.95
65,Kodiak,US,2021-12-22 06:31:14,57.79,-152.4072,31.84,59,39,5.86
66,Coquimbo,CL,2021-12-22 06:34:07,-29.9533,-71.3436,59.74,92,88,2.37
67,Pevek,RU,2021-12-22 06:34:07,69.7008,170.3133,-16.31,100,100,4.5
68,Busselton,AU,2021-12-22 06:34:08,-33.65,115.3333,85.05,42,3,12.66
69,Grand Gaube,MU,2021-12-22 06:34:08,-20.0064,57.6608,81.37,78,53,11.01
70,Belaya Gora,RU,2021-12-22 06:34:08,68.5333,146.4167,-22.72,96,100,5.21
71,Cabo San Lucas,MX,2021-12-22 06:33:32,22.8909,-109.9124,70.52,75,86,5.95
72,Vostok,RU,2021-12-22 06:34:09,46.4856,135.8833,-9.87,99,100,2.75
73,Kuzhorskaya,RU,2021-12-22 06:34:09,44.6751,40.3103,21.81,86,100,14.2
74,Kapaa,US,2021-12-22 06:34:10,22.0752,-159.319,73.72,74,90,5.01
75,Cavalcante,BR,2021-12-22 06:34:10,-13.7975,-47.4583,66.9,96,29,2.3
76,Vila Velha,BR,2021-12-22 06:34:11,-20.3297,-40.2925,71.55,97,75,4.61
77,Potosi,BO,2021-12-22 06:34:11,-19.5836,-65.7531,45.41,85,100,3.78
78,Qaanaaq,GL,2021-12-22 06:34:11,77.484,-69.3632,24.08,65,9,8.19
79,Tiksi,RU,2021-12-22 06:34:12,71.6872,128.8694,-23.33,97,87,8.12
80,Atuona,PF,2021-12-22 06:34:12,-9.8,-139.0333,78.96,75,80,22.01
81,Mount Gambier,AU,2021-12-22 06:34:13,-37.8333,140.7667,67.91,49,40,14.97
82,Tynda,RU,2021-12-22 06:32:07,55.1667,124.7167,-26.68,90,30,2.98
83,Amapa,BR,2021-12-22 06:34:14,1.0,-52.0,71.62,99,54,1.5
84,Fortuna,US,2021-12-22 06:34:14,40.5982,-124.1573,50.94,94,90,5.99
85,Tianpeng,CN,2021-12-22 06:34:14,30.9866,103.9393,52.27,51,52,3.69
86,Oranjemund,NA,2021-12-22 06:34:15,-28.55,16.4333,65.57,71,51,2.59
87,Guayaquil,EC,2021-12-22 06:32:38,-2.1667,-79.9,74.7,80,20,12.66
88,Zyryanka,RU,2021-12-22 06:34:15,65.75,150.85,-44.18,99,42,5.06
89,Sibu,MY,2021-12-22 06:34:16,2.3,111.8167,88.11,74,40,7.0
90,Dhandhuka,IN,2021-12-22 06:34:17,22.3667,71.9833,79.97,16,5,0.94
91,Kinablangan,PH,2021-12-22 06:34:17,7.6947,126.5503,79.45,85,100,3.38
92,Lagoa,PT,2021-12-22 06:34:17,39.05,-27.9833,56.52,65,99,40.0
93,Berwick,US,2021-12-22 06:34:18,41.0545,-76.2333,38.25,83,88,1.92
94,Manicore,BR,2021-12-22 06:34:19,-5.8092,-61.3003,74.28,97,100,2.21
95,Barrow,US,2021-12-22 06:30:02,71.2906,-156.7887,1.42,71,90,21.85
96,Laurel,US,2021-12-22 06:32:28,39.0993,-76.8483,38.82,94,90,3.0
97,Illapel,CL,2021-12-22 06:31:05,-31.6308,-71.1653,64.78,75,45,3.38
98,Lorengau,PG,2021-12-22 06:34:19,-2.0226,147.2712,83.97,75,100,6.87
99,Saurimo,AO,2021-12-22 06:34:20,-9.6608,20.3916,67.1,96,100,4.5
100,Hobart,AU,2021-12-22 06:30:18,-42.8794,147.3294,67.01,39,0,1.99
101,Salalah,OM,2021-12-22 06:34:11,17.0151,54.0924,78.89,61,20,4.61
102,Lasa,IT,2021-12-22 06:29:44,46.6166,10.7002,25.68,41,1,4.74
103,Mar Del Plata,AR,2021-12-22 06:34:21,-38.0023,-57.5575,67.08,95,4,1.99
104,Naze,JP,2021-12-22 06:29:37,28.3667,129.4833,61.72,88,100,8.28
105,Constitucion,CL,2021-12-22 06:34:21,-35.3333,-72.4167,59.86,58,0,5.95
106,Bonthe,SL,2021-12-22 06:34:22,7.5264,-12.505,73.42,89,17,4.9
107,Ribeira Grande,PT,2021-12-22 06:34:22,38.5167,-28.7,58.68,63,100,37.71
108,Upernavik,GL,2021-12-22 06:34:23,72.7868,-56.1549,25.03,60,40,7.83
109,Huilong,CN,2021-12-22 06:34:23,31.8111,121.655,58.98,58,0,8.21
110,Torbay,CA,2021-12-22 06:30:09,47.6666,-52.7314,29.57,80,75,26.46
111,Pangnirtung,CA,2021-12-22 06:34:24,66.1451,-65.7125,21.61,78,77,12.41
112,Hobyo,SO,2021-12-22 06:34:24,5.3505,48.5268,83.05,62,86,18.54
113,Arlit,NE,2021-12-22 06:34:25,18.7369,7.3853,61.48,22,62,4.27
114,Cape Town,ZA,2021-12-22 06:30:46,-33.9258,18.4232,75.88,67,0,1.99
115,Geraldton,AU,2021-12-22 06:34:25,-28.7667,114.6,79.21,61,1,14.97
116,Goderich,CA,2021-12-22 06:34:26,43.7501,-81.7165,34.92,69,100,21.85
117,Tual,ID,2021-12-22 06:34:26,-5.6667,132.75,80.6,82,100,16.2
118,Kudahuvadhoo,MV,2021-12-22 06:34:27,2.6708,72.8944,83.19,68,95,12.73
119,Bud,US,2021-12-22 06:34:27,39.447,-86.1758,35.69,75,1,12.73
120,Olafsvik,IS,2021-12-22 06:34:28,64.8945,-23.7142,34.54,73,27,15.32
121,Georgetown,MY,2021-12-22 06:31:12,5.4112,100.3354,85.95,78,20,8.05
122,Coolum Beach,AU,2021-12-22 06:34:28,-26.5333,153.1,82.11,72,6,10.09
123,Vung Tau,VN,2021-12-22 06:34:29,10.346,107.0843,80.56,75,92,17.05
124,Talagang,PK,2021-12-22 06:34:29,32.9297,72.4158,63.99,16,5,4.68
125,Nemuro,JP,2021-12-22 06:34:29,43.3236,145.575,32.43,59,0,17.45
126,Egvekinot,RU,2021-12-22 06:34:30,66.3167,-179.1667,-0.11,64,100,9.71
127,El Arenal,MX,2021-12-22 06:34:30,20.7833,-103.7,57.72,35,0,2.21
128,Udomlya,RU,2021-12-22 06:34:31,57.8794,34.9925,-0.87,96,97,4.59
129,Poum,NC,2021-12-22 06:34:31,-20.2333,164.0167,80.1,78,18,8.77
130,Sao Joao Da Barra,BR,2021-12-22 06:29:40,-21.6403,-41.0511,72.73,92,58,9.44
131,Kurkino,RU,2021-12-22 06:34:32,53.4257,38.6582,1.42,92,100,8.55
132,Tuy Hoa,VN,2021-12-22 06:33:55,13.0833,109.3,75.31,85,98,11.72
133,Henties Bay,NA,2021-12-22 06:29:36,-22.116,14.2845,64.85,82,0,4.61
134,Zirandaro,MX,2021-12-22 06:34:33,18.45,-100.9833,73.92,70,7,2.64
135,Half Moon Bay,US,2021-12-22 06:34:33,37.4636,-122.4286,52.86,94,90,4.61
136,Tuatapere,NZ,2021-12-22 06:34:34,-46.1333,167.6833,60.82,83,88,8.77
137,Assiniboia,CA,2021-12-22 06:34:35,49.6334,-105.9845,21.02,73,95,3.44
138,Utena,LT,2021-12-22 06:34:36,55.5,25.6,13.95,95,70,7.92
139,Beringovskiy,RU,2021-12-22 06:34:36,63.05,179.3167,1.62,99,100,16.75
140,Rio Grande,BR,2021-12-22 06:34:36,-32.035,-52.0986,65.95,81,0,8.9
141,Yumen,CN,2021-12-22 06:34:37,40.2833,97.2,36.41,21,29,8.75
142,Kikwit,CD,2021-12-22 06:34:37,-5.041,18.8162,75.4,88,100,2.93
143,Yatou,CN,2021-12-22 06:34:38,37.15,122.3833,42.15,59,3,3.85
144,Luderitz,NA,2021-12-22 06:34:38,-26.6481,15.1594,65.01,66,0,2.39
145,Necochea,AR,2021-12-22 06:29:43,-38.5473,-58.7368,65.03,82,2,9.75
146,Eyl,SO,2021-12-22 06:34:39,7.9803,49.8164,83.68,53,85,17.0
147,Marsa Matruh,EG,2021-12-22 06:34:39,31.3525,27.2453,57.78,74,26,13.44
148,Port Hardy,CA,2021-12-22 06:30:09,50.6996,-127.4199,39.2,100,90,23.02
149,Butaritari,KI,2021-12-22 06:34:40,3.0707,172.7902,81.81,68,100,1.68
150,Ilulissat,GL,2021-12-22 06:34:40,69.2167,-51.1,37.42,35,20,28.77
151,Lormont,FR,2021-12-22 06:34:41,44.875,-0.5178,38.37,100,45,5.75
152,Thompson,CA,2021-12-22 06:29:41,55.7435,-97.8558,-20.04,69,90,3.44
153,Rudnichnyy,RU,2021-12-22 06:34:42,59.617,52.4703,-3.24,98,79,5.06
154,Harper,LR,2021-12-22 06:34:42,4.375,-7.7169,77.7,85,100,3.2
155,Uberlandia,BR,2021-12-22 06:29:46,-18.9186,-48.2772,70.81,78,0,5.75
156,Dingle,PH,2021-12-22 06:34:43,10.9995,122.6711,83.89,73,100,9.53
157,Dawlatabad,AF,2021-12-22 06:34:43,36.4141,64.9053,61.02,66,96,1.03
158,Nabire,ID,2021-12-22 06:34:44,-3.3667,135.4833,81.01,85,99,3.51
159,Srivardhan,IN,2021-12-22 06:34:44,18.0333,73.0167,81.18,48,0,5.64
160,Verkhniy Rohachyk,UA,2021-12-22 06:34:45,47.2505,34.338,18.9,67,73,13.56
161,Palauig,PH,2021-12-22 06:34:45,15.435,119.9045,83.05,78,100,11.43
162,Burnie,AU,2021-12-22 06:34:46,-41.0667,145.9167,67.91,40,100,11.48
163,Pangkalanbuun,ID,2021-12-22 06:34:46,-2.6833,111.6167,86.14,70,100,3.49
164,Zapolyarnyy,RU,2021-12-22 06:34:46,69.4154,30.8136,16.88,89,100,8.16
165,Bara,NG,2021-12-22 06:31:00,10.3744,10.7288,67.14,33,37,10.63
166,Quelimane,MZ,2021-12-22 06:34:47,-17.8786,36.8883,80.55,78,40,2.3
167,Hasaki,JP,2021-12-22 06:34:48,35.7333,140.8333,55.29,44,94,11.45
168,Norman Wells,CA,2021-12-22 06:34:48,65.282,-126.8329,-0.36,78,20,5.75
169,Victoria,HK,2021-12-22 06:34:22,22.2855,114.1577,76.17,77,38,1.01
170,Kosonsoy,UZ,2021-12-22 06:34:49,41.2561,71.5508,34.36,26,100,1.45
171,Lamar,US,2021-12-22 06:34:49,33.6668,-95.5836,44.53,87,1,0.0
172,Provideniya,RU,2021-12-22 06:34:50,64.3833,-173.3,6.42,78,100,16.33
173,Slave Lake,CA,2021-12-22 06:30:01,55.2834,-114.769,19.38,100,90,2.3
174,Amos,CA,2021-12-22 06:34:10,48.5669,-78.1162,12.18,93,100,9.35
175,Chapais,CA,2021-12-22 06:32:16,49.7834,-74.8492,4.78,91,100,10.22
176,Banjar,ID,2021-12-22 06:34:50,-8.19,114.9675,87.66,63,100,4.29
177,Bani,DO,2021-12-22 06:34:51,18.2833,-70.3333,72.75,88,13,5.61
178,Vestmannaeyjar,IS,2021-12-22 06:34:51,63.4427,-20.2734,39.02,79,68,19.46
179,Ketchikan,US,2021-12-22 06:34:52,55.3422,-131.6461,34.27,93,90,4.61
180,Rena,NO,2021-12-22 06:34:52,61.1348,11.3641,18.93,98,99,1.43
181,Namibe,AO,2021-12-22 06:34:53,-15.1961,12.1522,72.07,64,32,7.94
182,Contratacion,CO,2021-12-22 06:34:53,6.2901,-73.4735,57.38,98,100,1.7
183,Grande Prairie,CA,2021-12-22 06:30:59,55.1667,-118.8027,19.58,93,90,4.61
184,Comodoro Rivadavia,AR,2021-12-22 06:34:54,-45.8667,-67.5,76.86,20,0,10.36
185,Fredericksburg,US,2021-12-22 06:30:30,38.3032,-77.4605,39.18,87,90,3.44
186,Riyadh,SA,2021-12-22 06:33:45,24.6877,46.7219,55.54,25,54,9.55
187,Kavieng,PG,2021-12-22 06:34:55,-2.5744,150.7967,84.49,72,59,8.32
188,Las Vegas,US,2021-12-22 06:30:04,36.175,-115.1372,46.69,55,1,3.44
189,Veraval,IN,2021-12-22 06:34:56,20.9,70.3667,78.85,26,6,1.32
